Date,Open,High,Low,Close,Volume
2018-07-03 00:00:00,1.31416,1.32062,1.31145,1.31938,55362
2018-07-04 00:00:00,1.31936,1.3249,1.31708,1.32276,49387
2018-07-05 00:00:00,1.32276,1.32739,1.32038,1.32214,56867
2018-07-06 00:00:00,1.32215,1.32898,1.32031,1.3285,47666
2018-07-08 00:00:00,1.3318,1.33196,1.3285,1.32945,3168
2018-07-09 00:00:00,1.32941,1.33623,1.31886,1.32536,59844
2018-07-10 00:00:00,1.32535,1.33007,1.32232,1.3258,55487
2018-07-11 00:00:00,1.32578,1.32851,1.31994,1.3206,62251
2018-07-12 00:00:00,1.32059,1.32443,1.31688,1.31781,54386
2018-07-13 00:00:00,1.3178,1.32377,1.31025,1.32331,50755
2018-07-15 00:00:00,1.32274,1.32306,1.32233,1.32267,1882
2018-07-16 00:00:00,1.32266,1.32924,1.32168,1.3236,47501
2018-07-17 00:00:00,1.32357,1.32685,1.30686,1.31045,57523
2018-07-18 00:00:00,1.31047,1.31165,1.30101,1.30773,55544
2018-07-19 00:00:00,1.30771,1.30826,1.29575,1.30216,61040
2018-07-20 00:00:00,1.30215,1.31395,1.29948,1.31289,56548
2018-07-22 00:00:00,1.3124,1.3147,1.31192,1.31456,3232
2018-07-23 00:00:00,1.31455,1.31579,1.30823,1.31026,50818
2018-07-24 00:00:00,1.31025,1.31589,1.30708,1.3149,52124
2018-07-25 00:00:00,1.31491,1.32002,1.31329,1.31988,55642
2018-07-26 00:00:00,1.31989,1.32128,1.3101,1.31082,51673
2018-07-27 00:00:00,1.31079,1.31305,1.30823,1.30983,43091
2018-07-29 00:00:00,1.31058,1.31102,1.3097,1.31096,3449
2018-07-30 00:00:00,1.31095,1.31517,1.3097,1.31354,41679
2018-07-31 00:00:00,1.31354,1.31723,1.30899,1.31183,50574
2018-08-01 00:00:00,1.31182,1.31438,1.30951,1.31242,45739
2018-08-02 00:00:00,1.31241,1.31251,1.30121,1.30158,53178
